"mudLogs","xmlns","xmlns:xsi","version","mudLog","uidWell","uidWellbore","uid","nameWell","nameWellbore","name","dTim","mudLogCompany","startMd","uom","endMd","uom","relatedLog","uidRef","geologyInterval","uid","typeLithology","mdTop","uom","mdBottom","uom","dTim","ropAv","uom","ropMn","uom","ropMx","uom","wobAv","uom","tqAv","uom","rpmAv","uom","wtMudAv","uom","ecdTdAv","uom","dxcAv","lithology","uid","type","codeLith","lithPc","uom","qualifier","uid","type","mdTop","uom","mdBottom","uom","abundance","uom","commonTime","dTimLastChange","chromatograph","dTim","mdBottom","uom","methAv","uom","methMn","uom","methMx","uom","ethAv","uom","ethMn","uom","ethMx","uom","propAv","uom","propMn","uom","propMx","uom","ibutAv","uom","ibutMn","uom","ibutMx","uom","nbutAv","uom","nbutMn","uom","nbutMx","uom","ipentAv","uom","ipentMn","uom","ipentMx","uom","npentAv","uom","npentMn","uom","npentMx","uom","mudGas","gasAv","uom","gasPeak","uom","gasBackgnd","uom","commonData","sourceName","dTimCreation","dTimLastChange","itemState","priv_userLastChange","priv_ipLastChange","priv_userOwner","priv_ipOwner","priv_dTimReceived"
,"http://www.witsml.org/schemas/1series","http://www.w3.org/2001/XMLSchema-instance","1.4.1.1",,"dd19bf7b-02a7-4383-9038-ce201cee4d91","e0cab46e-aa2a-4d69-b466-108dafd4ae62","3RJGJ56","NO 15/9-F-15","NO 15/9-F-15 D","15/9-F-15 D","2013-12-01T21:02:30.000Z","BHI","1380.1","m","4685","m","DrillDepth","121RJGJ56",,"int1RJGJ56","interpreted","1380.1","m","1410","m","2013-11-10T22:49:01.000Z","0.00536307810758315","m/s","0.000400457665903894","m/s","0.00166666666666641","m/s","79490.0363945312","N","11037.08749","N.m","1.4215896648","c/s","1400","kg/m3","1399.828964","kg/m3","0.808020497335077",,"int1RJGJ561","claystone","90","100","%",,"int1RJGJ5611","pyrite","1380.1","m","1410","m","5","%",,"2013-12-02T14:35:24.846Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"INTEQ","2013-11-10T06:08:22.917Z","2016-07-12T16:35:48.139Z","actual","sc-sync-bhi","143.97.229.4","statfeedstg","10.166.14.6","2016-07-08T21:37:38.651Z"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"int1RJGJ5613","mica","1380.1","m","1410","m","5","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"2RJGJ56","cuttings","1410","m","1440","m","2013-11-10T22:49:01.000Z","0.007997447179","m/s","0.00162396827098295","m/s","0.00265945658437126","m/s","49199.7235508906","N","10937.664001","N.m","1.999623275","c/s","1400","kg/m3","1402.637556","kg/m3","0.64246872185422",,"2RJGJ561","claystone","90","100","%",,,,,,,,,,,"2013-12-02T14:35:24.846Z",,"2013-11-10T21:02:41.000Z","1440","m","1613","ppm","231","ppm","2490","ppm","-2978425532","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm",,"2066","ppm","2078","ppm","2062","ppm",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"1RJGJ56","cuttings","1410","m","1410","m","2013-11-28T22:05:13.000Z",,,,,,,,,,,,,,,,,,,"1RJGJ561","claystone","90","100","%",,,,,,,,,,,"2013-12-02T14:35:24.846Z",,"2013-11-10T19:25:41.000Z","1410","m","1648","ppm","1648","ppm","1648","ppm","-999","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm",,"2478","ppm","2522","ppm","2419","ppm",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"int2RJGJ56","interpreted","1410","m","1440","m","2013-11-11T02:57:30.000Z","0.007997447179","m/s","0.00162396827098295","m/s","0.00265945658437126","m/s","49199.7235508906","N","10937.664001","N.m","1.999623275","c/s","1400","kg/m3","1402.637556","kg/m3","0.64246872185422",,"int2RJGJ561","claystone","90","100","%",,"int2RJGJ5611","mica","1410","m","1440","m","5","%",,"2013-12-02T14:35:24.846Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"int2RJGJ5612","pyrite","1410","m","1440","m","5","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"int2RJGJ5613","calcareous","1410","m","1440","m","5","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"int3RJGJ56","interpreted","1440","m","1460","m","2013-11-14T03:54:59.000Z","0.0078058989530303","m/s","0.00266825965750697","m/s","0.00315190773362825","m/s","33501.4905229107","N","10582.88875","N.m","1.936630325","c/s","1400","kg/m3","1402.65378181818","kg/m3","0.597617054745916",,"int3RJGJ561","claystone","90","100","%",,"int3RJGJ5612","calcareous","1440","m","1460","m","5","%",,"2013-12-02T14:35:24.846Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"int3RJGJ5613","mica","1440","m","1460","m","3","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"int3RJGJ5611","pyrite","1440","m","1460","m","5","%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"3RJGJ56","cuttings","1440","m","1470","m","2013-11-11T02:11:47.000Z","0.008109017938","m/s","0.00266825965750697","m/s","0.00339763675487938","m/s","36392.2083351211","N","10908.709126","N.m","1.9587011245","c/s","1400","kg/m3","1402.662987","kg/m3","0.605740315426326",,"3RJGJ561","claystone","90","100","%",,,,,,,,,,,"2013-12-02T14:35:24.846Z",,"2013-11-21T15:52:28.000Z","1470","m","1306","ppm","15","ppm","3526","ppm","0","ppm","0","ppm","3","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm","0","ppm",,"2223","ppm","4317","ppm","132","ppm",,,,,,,,,,
